city,timestamp,temperature,season
New York,2010-01-01,-0.8009159033579631,winter
New York,2010-01-02,3.13035737059716,winter
New York,2010-01-03,2.8019398916798366,winter
New York,2010-01-04,-3.8460973575694672,winter
New York,2010-01-05,-1.614274831632582,winter
New York,2010-01-06,10.663608709299455,winter
New York,2010-01-07,0.16716865609879517,winter
New York,2010-01-08,7.507934548970341,winter
New York,2010-01-09,10.635806252558762,winter
New York,2010-01-10,11.026276721714707,winter
New York,2010-01-11,1.1061329630120265,winter
New York,2010-01-12,5.613630355890322,winter
New York,2010-01-13,-3.1793857415968354,winter
New York,2010-01-14,-1.2563940174032948,winter
New York,2010-01-15,-2.918906827109609,winter
New York,2010-01-16,4.628792456659215,winter
New York,2010-01-17,-3.793920431681968,winter
New York,2010-01-18,-2.6398146317456153,winter
New York,2010-01-19,-3.6720416091746264,winter
New York,2010-01-20,-1.638887298667818,winter
New York,2010-01-21,-8.207808989836675,winter
New York,2010-01-22,-0.9011507828297476,winter
New York,2010-01-23,3.2085665652222497,winter
New York,2010-01-24,-6.322534782158968,winter
New York,2010-01-25,-3.946046752090322,winter
New York,2010-01-26,-2.633068710297924,winter
New York,2010-01-27,-1.2406684913115675,winter
New York,2010-01-28,-10.049193899453122,winter
New York,2010-01-29,-4.767852480376538,winter
New York,2010-01-30,2.1539602729102296,winter
New York,2010-01-31,-1.8223237705980955,winter
New York,2010-02-01,7.610131036024246,winter
New York,2010-02-02,-3.5297579180235394,winter
New York,2010-02-03,-8.652493179411433,winter
New York,2010-02-04,-9.066538231937063,winter
New York,2010-02-05,1.2050932968750634,winter
New York,2010-02-06,-7.334383633997621,winter
New York,2010-02-07,4.857870795447774,winter
New York,2010-02-08,1.3198041795885949,winter
New York,2010-02-09,-4.339722125822204,winter
New York,2010-02-10,-0.4220172582112507,winter
New York,2010-02-11,0.39826485470180195,winter
New York,2010-02-12,1.926028600018811,winter
New York,2010-02-13,0.0044709645334497184,winter
New York,2010-02-14,2.584089001022905,winter
New York,2010-02-15,2.970599861713335,winter
New York,2010-02-16,-2.775785494800489,winter
New York,2010-02-17,3.955573803528756,winter
New York,2010-02-18,-0.23715395390948812,winter
New York,2010-02-19,-0.9667920756949926,winter
New York,2010-02-20,-7.20334360464709,winter
New York,2010-02-21,4.641651997887991,winter
New York,2010-02-22,-4.753653973240289,winter
New York,2010-02-23,-4.22167532531962,winter
New York,2010-02-24,5.907930764100806,winter
New York,2010-02-25,5.309972394784803,winter
New York,2010-02-26,0.36283297119471875,winter
New York,2010-02-27,-3.2689153163499256,winter
New York,2010-02-28,0.5759301037658273,winter
New York,2010-03-01,13.147514351388738,spring
New York,2010-03-02,12.685422352427288,spring
New York,2010-03-03,17.099677810825956,spring
New York,2010-03-04,10.464670796260632,spring
New York,2010-03-05,4.341326917239606,spring
New York,2010-03-06,4.398450975679581,spring
New York,2010-03-07,11.194965465306867,spring
New York,2010-03-08,8.040342741644688,spring
New York,2010-03-09,10.352629303433824,spring
New York,2010-03-10,1.7159675261399998,spring
New York,2010-03-11,12.4448949069775,spring
New York,2010-03-12,1.1043452086289163,spring
New York,2010-03-13,5.24587049276996,spring
New York,2010-03-14,8.94560886336607,spring
New York,2010-03-15,7.1936303048980585,spring
New York,2010-03-16,9.99618618806193,spring
New York,2010-03-17,12.058676860483235,spring
New York,2010-03-18,18.252050668124397,spring
New York,2010-03-19,13.18316093810139,spring
New York,2010-03-20,9.097309592377202,spring
